sample,version,label,final_verdict,final_is_malicious,final_is_flagged,dyn_verdict,dyn_is_malicious,static_verdict,static_is_malicious,invisible_unicode,decided_by
GavinLamWood.vs-blanket,0.0.8,1,MALICIOUS,1,1,MALICIOUS,1,BENIGN,0,0,dynamic
GitlensPro.aicode-companion,2.0.0,1,MALICIOUS,1,1,MALICIOUS,1,SUSPICIOUS,0,0,dynamic
GitlensPro.codebeauty-formatter,2.0.0,1,MALICIOUS,1,1,MALICIOUS,1,SUSPICIOUS,0,0,dynamic
GitlensPro.error-lens-ultra-pro,2.0.0,1,MALICIOUS,1,1,MALICIOUS,1,SUSPICIOUS,0,0,dynamic
GitlensPro.gitlens-monocharged,1.0.0,1,MALICIOUS,1,1,MALICIOUS,1,SUSPICIOUS,0,0,dynamic
GitlensPro.gitpro-ai-tools,1.0.0,1,MALICIOUS,1,1,MALICIOUS,1,SUSPICIOUS,0,0,dynamic
GitlensPro.peacock-workspace-colorizer,2.0.0,1,MALICIOUS,1,1,MALICIOUS,1,SUSPICIOUS,0,0,dynamic
IconKief.icon-theme-material,5.29.0,1,MALICIOUS,1,1,BENIGN,0,MALICIOUS,1,0,static
JacobETH.solidi,1.0.7,1,MALICIOUS,1,1,MALICIOUS,1,MALICIOUS,1,0,both
JohnGaffney.blankebesxstnion,1.0.2,1,SUSPICIOUS,0,1,SUSPICIOUS,0,BENIGN,0,0,dynamic
josephdembele95.email-grabber,1.0.6,1,MALICIOUS,1,1,MALICIOUS,1,BENIGN,0,0,dynamic
JuanFBlanco.awswhh,0.0.7,1,MALICIOUS,1,1,MALICIOUS,1,MALICIOUS,1,0,both
JuanFranBlanco.solidit-vscode,0.0.1,1,MALICIOUS,1,1,MALICIOUS,1,BENIGN,0,0,dynamic
JuanRiseETH.solidit,1.0.2,1,MALICIOUS,1,1,MALICIOUS,1,MALICIOUS,1,0,both
NotToTest.NotToTest,0.0.1,1,MALICIOUS,1,1,MALICIOUS,1,MALICIOUS,1,0,both
OPENEDAI.OPENEDAI,0.4.51,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
OktayAydoan.smarty-formatter,2.1.2,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
OzzyDev777.csharp-editor-pro,2.0.0,1,MALICIOUS,1,1,MALICIOUS,1,SUSPICIOUS,0,0,dynamic
OzzyDev777.dark-ai-professional,2.0.0,1,MALICIOUS,1,1,MALICIOUS,1,SUSPICIOUS,0,0,dynamic
OzzyDev777.gitlens-turbo-pro,2.0.0,1,MALICIOUS,1,1,MALICIOUS,1,SUSPICIOUS,0,0,dynamic
OzzyDev777.peacock-professional-edition,2.0.0,1,MALICIOUS,1,1,MALICIOUS,1,SUSPICIOUS,0,0,dynamic
priyanshumallick.clipboard-history-manager,0.1.0,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
Puglight.discoverito,0.0.1,1,SUSPICIOUS,0,1,SUSPICIOUS,0,BENIGN,0,0,dynamic
Puglight.inspiredaily,0.0.1,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
Puglight.persistorito,0.0.1,1,SUSPICIOUS,0,1,SUSPICIOUS,0,BENIGN,0,0,dynamic
Puglight.sysmotivate,0.0.3,1,MALICIOUS,1,1,MALICIOUS,1,BENIGN,0,0,dynamic
QuantumCodeLabs.ai-code-explainer,1.0.0,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
QuantumCodeLabs.ai-doc-generator,1.0.0,1,SUSPICIOUS,0,1,BENIGN,0,SUSPICIOUS,0,0,static
QuantumCodeLabs.ai-test-generator,1.0.0,1,BENIGN,0,0,BENIGN,0,BENIGN,0,0,both
